,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,5DAvg,10DAvg,20DAvg,RSI,TR,ATR,BolU,BolL,EMAs,EMAl,MACD,StoK,StoD,DMP,DMM,DI14P,DI14N,ADX,index,Revenue,COGS,GrossProfit,OperatingIncome,PreTaxIncome,IncomeAfterTax,IncomeFromContinuousOperations,NetIncome,EBITDA,SharesOutstanding,Basic EPS,EPS,Current,D/E,ITR,ROE,ROA,BVPS,OCFPS,FCFPS
1063,2024-07-01 00:00:00-04:00,850.216274,852.7066556,837.2662897,842.4163818,1989000,0,0,848.4490601,852.3280884,845.1652618,48.13416764,15.44036584,11.99011609,866.7179497,834.5612775,846.5669731,67.41928431,779.1476888,22.30149741,28.99604841,0,0,20.21837822,11.50674277,27.45973909,2/29/2020,39072,34056,5016,1266,1277,947,947,931,1655,442,2.1,2.1,1.0444,0.3294,2.8739,5.5709,1.9413,38.4922,1.3945,0.1665
1064,2024-07-02 00:00:00-04:00,842.4362614,857.0498025,839.8363178,856.0536499,1377900,0,0,849.2160889,851.4763733,847.3553009,55.96296256,17.21348463,12.4597291,867.4427801,835.2666315,848.0264619,68.40540253,779.6210593,59.90087558,94.96473364,4.343146883,0,21.11237815,11.07304825,31.1921606,2/29/2020,39072,34056,5016,1266,1277,947,947,931,1655,442,2.1,2.1,1.0444,0.3294,2.8739,5.5709,1.9413,38.4922,1.3945,0.1665
1065,2024-07-03 00:00:00-04:00,851.710501,860.1977409,851.710501,859.3410034,814400,0,0,850.3756104,850.6704834,849.1120148,58.62669639,8.487239887,12.20286508,868.5168187,836.3058567,849.7671606,68.721956,781.0452046,68.96445397,96.26391951,0,11.87418317,18.75793907,18.25659583,1.354449673,2/29/2020,39072,34056,5016,1266,1277,947,947,931,1655,442,2.1,2.1,1.0444,0.3294,2.8739,5.5709,1.9413,38.4922,1.3945,0.1665
1066,2024-07-05 00:00:00-04:00,861.2336845,883.5275844,855.4161266,882.2624512,2620700,0,0,857.3586426,852.9845398,851.6706329,68.51624139,28.11145783,13.48078807,876.9207253,833.5529686,854.766436,70.44328942,784.3231466,97.26524461,97.10437955,23.32984353,0,29.34118816,16.525946,27.93992341,2/29/2020,39072,34056,5016,1266,1277,947,947,931,1655,442,2.1,2.1,1.0444,0.3294,2.8739,5.5709,1.9413,38.4922,1.3945,0.1665
1067,2024-07-08 00:00:00-04:00,883.3781089,884.5336799,874.2832312,877.4510498,1611300,0,0,863.5049072,856.2250244,853.5732819,62.29605059,10.25044878,13.19759749,881.6386793,832.4168975,858.2563766,70.2143955,788.0419811,85.01582148,78.42186419,0,18.86710456,25.45820052,27.09188612,3.108816199,2/29/2020,39072,34056,5016,1266,1277,947,947,931,1655,442,2.1,2.1,1.0444,0.3294,2.8739,5.5709,1.9413,38.4922,1.3945,0.1665
1068,2024-07-09 00:00:00-04:00,880.4494694,893.2201533,879.5728502,883.4379272,1356800,0,0,871.7092163,860.0791382,855.6288391,59.85226652,15.76910347,13.10082873,886.5708241,830.1800565,862.1304613,70.6409128,791.4895485,82.51733587,74.12385164,8.686473345,0,22.57215527,27.29199928,9.465404672,2/29/2020,39072,34056,5016,1266,1277,947,947,931,1655,442,2.1,2.1,1.0444,0.3294,2.8739,5.5709,1.9413,38.4922,1.3945,0.1665
1069,2024-07-10 00:00:00-04:00,883.9858532,886.8448063,877.3116185,880.9077148,1755800,0,0,876.6800293,862.9480591,857.4204193,57.07576186,9.533187803,13.33634749,889.7068318,828.9737363,865.0192696,70.48508353,794.534186,77.99537395,34.98183944,0,0,22.17353293,19.16449316,7.279108504,2/29/2020,39072,34056,5016,1266,1277,947,947,931,1655,442,2.1,2.1,1.0444,0.3294,2.8739,5.5709,1.9413,38.4922,1.3945,0.1665
1070,2024-07-11 00:00:00-04:00,887.3328664,887.3328664,843.2630867,843.3328247,6021100,0,0,873.4783936,861.927002,857.2849426,43.67162555,44.06977964,15.53855698,889.7636625,826.6613253,861.6828934,67.69021542,793.992678,10.84203053,0.139595817,0.488060066,0,19.25533265,16.44839611,7.861746198,2/29/2020,39072,34056,5016,1266,1277,947,947,931,1655,442,2.1,2.1,1.0444,0.3294,2.8739,5.5709,1.9413,38.4922,1.3945,0.1665
1071,2024-07-12 00:00:00-04:00,846.6201403,846.7297025,835.1544143,839.6570435,3288400,0,0,864.957312,861.1579773,857.040387,47.6435322,11.57528825,14.99067653,890.1917165,825.4633913,858.2943011,67.21090807,791.0833931,7.754364703,8.629288506,0,0,19.95907809,17.04955341,7.861746198,2/29/2020,39072,34056,5016,1266,1277,947,947,931,1655,442,2.1,2.1,1.0444,0.3294,2.8739,5.5709,1.9413,38.4922,1.3945,0.1665
1072,2024-07-15 00:00:00-04:00,843.6017991,854.599363,841.4202224,845.4645996,2064000,0,0,858.560022,861.0324646,857.1783508,50.23657489,14.94231952,15.40906312,890.1638212,825.5724023,856.3205009,67.60559316,788.7149077,17.75605633,19.75946949,7.86966044,0,23.06512349,16.58662425,16.33849603,2/29/2020,39072,34056,5016,1266,1277,947,947,931,1655,442,2.1,2.1,1.0444,0.3294,2.8739,5.5709,1.9413,38.4922,1.3945,0.1665
